제목,날짜,작성일,작성자,댓글
"유승민 ""朴탄핵 후회않는다, 지금 결정의 순간 와도 같은선택""",2021-04-30 19:04:00,2021-05-02 08:36:27,최****,개혁보수? 웃기는 말 장난 하지마라!! 나라가 니들땜에 이꼴이된걸 보고도 그딴생각을 갖고있으니~.. 딱 니 그릇은 이기적인 그만한것 이다.니들이 더듬당과 짜고 한 일 ~..길이길이 배신자로 낙인찍히리니 정치판에 얼쩡거리지말고 사라져라!!
"유승민 ""朴탄핵 후회않는다, 지금 결정의 순간 와도 같은선택""",2021-04-30 19:04:00,2021-05-02 08:23:09,최****,"유가야~개똥같은소리 나불거리지 말라 아무나 대권도전이냐??, 너와 김무성을 인간으로 취급하는 국민은 아무도 없을게다 역적 배신자같은 늠!! 오로지 사심없이 나라와국민을 생각하시고 일하신 주군을 배신한 것들~길이길이 낙인찍혀 역사에 남으리니~.."
"유승민 ""朴탄핵 후회않는다, 지금 결정의 순간 와도 같은선택""",2021-04-30 19:04:00,2021-05-02 01:38:18,tige****,"박근혜가 정치적인 이유로 처벌을 받은 것이 아니라, 재벌에게 인허가나 승계를 허락하는 조건으로 뇌물을 받고, 국정원의 정보비를 개인의 쌈지돈 같이 갖다 섰잖아. 이런 파렴치한 범죄자가 아닌가. 따라서 사면의 대상이 될 수 없다."
"유승민 ""朴탄핵 후회않는다, 지금 결정의 순간 와도 같은선택""",2021-04-30 19:04:00,2021-05-02 17:07:13,haru****,"뒷돈 꼬불치던 땢쭝이, 삐아제 질질 흘리고 외국가서 뒷돈 받던 농현 얘기를 하려니까 주둥아리 터져 삐뚜루 나온 기제?"
"유승민 ""朴탄핵 후회않는다, 지금 결정의 순간 와도 같은선택""",2021-04-30 19:04:00,2021-05-02 02:23:50,jeon****,뇌물을받아 어따가썻는데~
"유승민 ""朴탄핵 후회않는다, 지금 결정의 순간 와도 같은선택""",2021-04-30 19:04:00,2021-05-02 01:14:01,pyh3****,"합죽이 역적놈아, 쌍판때기도 보기싫다"
"유승민 ""朴탄핵 후회않는다, 지금 결정의 순간 와도 같은선택""",2021-04-30 19:04:00,2021-05-01 22:40:26,rock****,이놈은 김무성이 놈하고 같이 땅 속에 파묻어야 한다. 대통령이 재임중 잘못이 있으면 퇴임후에 처벌해도 충분히 법치가 지켜짐에도 불구하고 헌정을 중단할만한 잘못도 아니고 개인이 착복한것도 아닌데 탄핵에 앞장서고 그로 인한 국가의 손실이 이루 말할수도 없는데도 아직도 이따위 소리를 한다. 백주대낮에.
"유승민 ""朴탄핵 후회않는다, 지금 결정의 순간 와도 같은선택""",2021-04-30 19:04:00,2021-05-01 16:00:41,nhj4****,역사의 평가에 맞긴다! 그동안 탄핵으로 고통받고/ 앞으로 고통받을 사람들은 어떻게 보상 받나!
"유승민 ""朴탄핵 후회않는다, 지금 결정의 순간 와도 같은선택""",2021-04-30 19:04:00,2021-05-01 10:22:04,haru****,꿈깨라 재앙이보다 더 더런 xx야 한국근대정치사를 공부해본 xx냐? 운으로 빽으로 서울대 들어간 xx냐? 극성지지세력이 있어도 정권말기엔 흉흉하고 슝악스럽게 쫓겨나고 감방가는 게 울나라 근현대정치사이자 권력실상인데 니딸 나체영상으로 팬덤선동할 거냐? 극성팬 하나없는 니까짓게 정권유지 지속할 수단은 뭐가 있냐? 니가 요행수로 정권 잡아도 여타 대통과는 다르게 초기부터 니편내편없이 엄청난 저항에 부딪힐 텐데 뒷구멍으로 대학 가지않은 이상 니 실상을 스스로 자인하지 못하는 네가 신묘하다
"유승민 ""朴탄핵 후회않는다, 지금 결정의 순간 와도 같은선택""",2021-04-30 19:04:00,2021-05-01 10:01:33,곽****,지지리도 못났네
"유승민 ""朴탄핵 후회않는다, 지금 결정의 순간 와도 같은선택""",2021-04-30 19:04:00,2021-05-01 10:01:04,haru****,어떤 권력자든 최소한 팬덤 정도의 극성지지자가 있어야 정권말기라도 지켜주는 세력이라도 남아있을 텐데 너에게 극성지지 유승민팬덤이라도 있을 줄 아느냐? 니 여식을 선거에 이용해 먹던데 발가벗겨 나체로 선거판 나서면 유승민 빙부팬덤이 생기겠네 일찌감치 김칫국 토해내고 꿈깨라
"유승민 ""朴탄핵 후회않는다, 지금 결정의 순간 와도 같은선택""",2021-04-30 19:04:00,2021-05-01 09:54:24,haru****,"견자야 너도 조구기처럼 뒷문으로 니 부친 빽으로 서울대 들어가고 국가시스템을 이용해 등따시고 배부르게 살제? 지 고향에서 지지 못받고 권력자된 인물이 있더나? 노통은 김해, 재앙이는 양산 김해를 끼고 대통 먹었는데 넌 고향에서도 쫓겨난 자 아니냐 지 고향에서 지지 못 받은 자는 예수처럼 자기고난의 십자가를 지는 자 밖에 더 있더냐 세상이치를 그리 모르고 설치냐 어찌 그 두뇌로 사느냐 십자가를 지고 콱 죽어삐라 그라마 애도객은 좀 안 있겠나"
"유승민 ""朴탄핵 후회않는다, 지금 결정의 순간 와도 같은선택""",2021-04-30 19:04:00,2021-05-01 09:38:54,jsb0****,갈아서 뱀밭에 내버리고 싶은 시대의 패륜아.
"유승민 ""朴탄핵 후회않는다, 지금 결정의 순간 와도 같은선택""",2021-04-30 19:04:00,2021-05-01 09:36:41,easy****,김무성 유승민은 영원한 배신자들이다. 어떻게 이자들은 정치판을 떠나지않는가? 인간적으로 있을수 없는 일이요~~
"유승민 ""朴탄핵 후회않는다, 지금 결정의 순간 와도 같은선택""",2021-04-30 19:04:00,2021-05-01 09:28:50,bsks****,관리자에 의해 삭제된 댓글입니다.
"유승민 ""朴탄핵 후회않는다, 지금 결정의 순간 와도 같은선택""",2021-04-30 19:04:00,2021-05-01 09:29:38,bsks****,관리자에 의해 삭제된 댓글입니다.
"유승민 ""朴탄핵 후회않는다, 지금 결정의 순간 와도 같은선택""",2021-04-30 19:04:00,2021-05-01 09:27:37,aho9****,고려 의의민 홍륜??박대통령은 인기 떨어지는 공무윈 연금 개혁 통진당해산 민노총 개혁 하려나 이들과 당내 배신파에 의해 마녀사냥된 비운의 대통령이다 문재인이 박근혜보다 잘하는거 ㅈ있으면 한가지라도 대봐라
"유승민 ""朴탄핵 후회않는다, 지금 결정의 순간 와도 같은선택""",2021-04-30 19:04:00,2021-05-01 09:29:42,aho9****,최서윈은 호가 호위위범 일뿐이다 다른 대통령들도 다 있던 호가 호위범 유승민 김무성은 역사가 심판할거다
"유승민, 김제동 책 꺼내며 ""사이비 진보가 헌법 가치 독점""",2021-05-06 17:01:00,2021-05-08 07:48:46,김****,"""자유"" 의 진정한 가치를 왜곡하는 일부 개그맨, 정치가,종교인,교수,법조인, 언론인...등, 들이 하늘이 내려주신 ""자유대한민국"" 을 거짓선동으로 파괴하려고 한다. ""자유""를 국민으로부터 지키기위해 헌법이 필요한것이다. 헌법에 포함되는 기본 항목들 을 가지고 말장난과 거짓선동으로 선량한 국민을 현혹시키지 맙시다."
"유승민, 김제동 책 꺼내며 ""사이비 진보가 헌법 가치 독점""",2021-05-06 17:01:00,2021-05-08 06:51:54,김****,"""자유"" 는 유승민이 주장하는 모든것의 상위개념 입니다. 첫단추 부터 잘못된 생각이 자유대한민국을 잘못된 방향으로 가고있다. 정신차리자."
"유승민, 김제동 책 꺼내며 ""사이비 진보가 헌법 가치 독점""",2021-05-06 17:01:00,2021-05-07 12:33:06,이****,"보수적폐의 대명사, you 승민! 낡은 보수가 뭐 어때서? 그들이 오늘의 대한민국을 만들어 온 사람들이다. 쓰레기 통에 넣다니? 자네 선조들이나 그렇게 하게나. 박물관으로 모셔놓고 대대로 그들의 정신을 잊지 말도록 해야지. 싸가지 없는 넘."
"유승민, 김제동 책 꺼내며 ""사이비 진보가 헌법 가치 독점""",2021-05-06 17:01:00,2021-05-07 09:58:43,방****,밥이익었는지설익었는지도모르는이런촌놈도정치하나?그러니 대한민국에미래가없다는것이다! 나라와국민을위해사생결단을낼수있는강력한지도자가필요한때이다!
"유승민, 김제동 책 꺼내며 ""사이비 진보가 헌법 가치 독점""",2021-05-06 17:01:00,2021-05-07 07:46:55,chad****,문제인 정부에 정권을 넘겨준 사람이 누구인지 묻고 싶네요. 그러면서 정권창출~~~ 에라이 천하에^^
"유승민, 김제동 책 꺼내며 ""사이비 진보가 헌법 가치 독점""",2021-05-06 17:01:00,2021-05-07 06:34:08,강****,인간말종대회에나가면일등한다둘다
"유승민, 김제동 책 꺼내며 ""사이비 진보가 헌법 가치 독점""",2021-05-06 17:01:00,2021-05-06 23:51:49,Joy ****,이 너절한 배신의 아이콘 새 끼 얘기는 왜 자꾸실어주나? 염장 지르나?
"유승민, 김제동 책 꺼내며 ""사이비 진보가 헌법 가치 독점""",2021-05-06 17:01:00,2021-05-06 23:08:31,윤 ****,"승민아, 돌아가신 아버님께서 그러실거다. 이녀석아, 내얼굴에 X칠 그만해라 하실거다."
"유승민, 김제동 책 꺼내며 ""사이비 진보가 헌법 가치 독점""",2021-05-06 17:01:00,2021-05-06 21:32:22,smtp****,"새로운자유의가치는 5.18,4.3을 똑 바로볼때있다. 역사인식없이는 더불당과 국민힘은 한통속일껄"
"유승민, 김제동 책 꺼내며 ""사이비 진보가 헌법 가치 독점""",2021-05-06 17:01:00,2021-05-06 20:24:00,sshn****,"재동이가 쓴 헌법책은 달님 정부 대법관 헌법재판관 법무장관 판새 검새 정권의견 견찰 더불어 추행당 국해의원 대깨홍,.. 필독 도서로 지명해라. 초빙해서 한번 강의에 천만원 대 초 스타강사님 아니더냐? 이게나라냐?"
"유승민, 김제동 책 꺼내며 ""사이비 진보가 헌법 가치 독점""",2021-05-06 17:01:00,2021-05-06 19:50:18,dla8****,진보네 보수네 편 길라 프레임 씌우는 정치인은 영원히 추방해야 한다.
"유승민, 김제동 책 꺼내며 ""사이비 진보가 헌법 가치 독점""",2021-05-06 17:01:00,2021-05-06 19:30:46,sons****,관상은 과학이다 저더러운 럼 면상을 봐라 저게 딱 간신 간신도 대를이을 면상이다 저런럼 옆에도 가지마라 벼락 맏는다 전형적인 간신의 면상이다
"유승민, 김제동 책 꺼내며 ""사이비 진보가 헌법 가치 독점""",2021-05-06 17:01:00,2021-05-06 19:28:28,sons****,"이,천하의 제일 간신럼아 주사공산개들과 손잡고 너같은 간신럼이 만든 세상이다 그래 저. 더러운 주사공산개들 소모품이된 기분어떠냐 ㅍㅍ이더러운 상판때기 치워라 더러운 공산개 소모품럼 ㅍㅍㅍ"
"유승민, 김제동 책 꺼내며 ""사이비 진보가 헌법 가치 독점""",2021-05-06 17:01:00,2021-05-06 18:48:35,Dong****,유승민도 함께 들어가서 두번다시 나오지 말어라. 아무도 당신에게 기대하지 않는다.
"유승민, 김제동 책 꺼내며 ""사이비 진보가 헌법 가치 독점""",2021-05-06 17:01:00,2021-05-06 18:25:43,dxge****,"김제동이 무슨 대단한 인물이라고 ㅋ 문재인 정권과 친분있다는 이유로 ㅋ 유승민 벤댕이 소갈딱지하곤 ㅋ 유승민 밀하는 모양새가 막장으로 치닷네 ㅋ 1,56,152,10"
"유승민, 김제동 책 꺼내며 ""사이비 진보가 헌법 가치 독점""",2021-05-06 17:01:00,2021-05-06 18:15:51,boho****,승민 아 탄핵 의 강 을 건너자는 것 조치 그럴러면 너 와 김무성 이가 보수 우파에게 진심으로 반성하구 사과 하는것을 전제로 해야 가능해 느그들이 만든 대통령 느그들이 탄핵해 사꾸라 박지원 과 짜구 ~ 에라이 후레자슥들아 ~
"유승민, 김제동 책 꺼내며 ""사이비 진보가 헌법 가치 독점""",2021-05-06 17:01:00,2021-05-06 18:14:45,dall****,도대체 유승민따위를 기사화 시켜주는 기자의 저의는 뭐냐? 우파 국민들이 옆에 있으면 패 x이고 싶은 x 1순위가 김무성 유승민인데
"유승민, 김제동 책 꺼내며 ""사이비 진보가 헌법 가치 독점""",2021-05-06 17:01:00,2021-05-06 18:13:04,전설 -****,얘는 정말 싸-가-지 가 없다... 타일러서 사람 될 놈이 아니다..
"유승민, 김제동 책 꺼내며 ""사이비 진보가 헌법 가치 독점""",2021-05-06 17:01:00,2021-05-06 18:09:12,전설 -****,"야,,이 쓰레기야.. 낡은 보수??? 그래 이 나라 낡은 보수가 뭐가 무능하냐? 지구상 꼴찌에서 두번째로 살던 나라를 전세계가 부러워 하는 선진국 으로 끌고온게 무능이냐? 그래 이자석아..네놈은 뭐가 새로운데? 아무 죄없는 대통령 법 악용해서 탄핵질에 부역한게 새로운거냐? 너나 김무성이나,,너네들 탄핵역적들은 향후 천년동안 배신자 역적으로 남을 거다. 국민들은 너나 네 집안에 저주가 내리길 바라고 있다.."
