제목,날짜,작성일,작성자,댓글
내년 대선은 결국 이재명 대 윤석열?,2021-04-11 08:32:00,2021-04-11 10:04:00,hongbe****,검증도 안된사람 밀다가 망신당하지 말고 철수형이나 잘 모시자
내년 대선은 결국 이재명 대 윤석열?,2021-04-11 08:32:00,2021-04-11 10:02:00,위시본,반짝현상이겠지. 석열이 관상이 안 좋아.
내년 대선은 결국 이재명 대 윤석열?,2021-04-11 08:32:00,2021-04-11 09:52:00,으니,"정치 입문 당시에 엄청난 지지율로 대권도 거머쥘거 같은 기세였으나 검증을 통해 거품이 걷히고 실체가 드러나면서 지지율이 토막난 후 지금도 미련을 버리지 못하고 정치권을 맴도는 안모씨, 지지율에 고무되어 대권꿈을 꾸다 검증과 현실의 벽에 부딪혀 꿈을 접은 반모씨의 사례를 보면 준비없이 대권을 가는 길이 얼마나 힘들고 허황된 것인가를 윤모씨는 깨닫게 될것입니다
검증과 상호 토론 후에도 대권을 도전할 인물인가는 국민들이 판단할 것입니다"
내년 대선은 결국 이재명 대 윤석열?,2021-04-11 08:32:00,2021-04-11 09:49:00,happy****,"김종인은 끝났다. 선거에 이기기 위한 음흉한 모습외에, 진정 국가를 위해 뭐를 해야 할지는 전연 보이지 않는 인간이다."
내년 대선은 결국 이재명 대 윤석열?,2021-04-11 08:32:00,2021-04-11 09:49:00,솜씨꾼,"김종인을 국힘당이 너무 추켜 세우네.
국힘당이 코로나 사태 초기의 지난 총선에서 대패한거 생각도 안나는 분위기인데,
이번 보궐선거 민주당이 진거도 따지고 보면 사실 코로나 영향이 크다.
코로나로 시중에 유동 자금이 갈때가 없어 아파트로 몰렸고 대책을 세우는 것도 한계가
있지 좋은 말로 어떻게 유동자금을 막나, 결국은 보유세니 각종 세금으로
막는 길밖에 없어 일이 이지경이 된 것인데, 뭐 딴 길이 있나?
그나마 세계 여러 수도에 비하면 적게 오른 것인데, 문정부를 비판한거 너무 한 짓 아니냐?
정부도 이러한 비판에 빨리 대처를 했어야 하는데, 대응하는 선거 컨트롤 타워가 안보였다.
이 모든 사실 , 알고보면 김종인의 ""매직""이 아니고 매직이라기 보다는 ""사기""에 가깝다."
내년 대선은 결국 이재명 대 윤석열?,2021-04-11 08:32:00,2021-04-11 09:29:00,hijoker****,"두 놈 다 자격미달이다.
국민들의 수준을 우습게 보는 거 아닌가.
기레기라고 욕을 바가지로 먹어도 싸다."
내년 대선은 결국 이재명 대 윤석열?,2021-04-11 08:32:00,2021-04-11 09:28:00,shim****,성려리 탈탈 털리고 디지것네
내년 대선은 결국 이재명 대 윤석열?,2021-04-11 08:32:00,2021-04-11 09:24:00,bh****,"군대 안갔다온 검사, 부동산 투기 부잣집에 장가가고, 전관예우로 1년에 몇억씩 버는 돈과 권력을 다가진, 황교안이나 윤석열이 같은 이들이 군통수권을 가진다고..? 어떤 가짜보수 놈들이 그런 소리 하고 다니냐...!!"
내년 대선은 결국 이재명 대 윤석열?,2021-04-11 08:32:00,2021-04-11 09:18:00,000000,두 인간 모두 불가....!
내년 대선은 결국 이재명 대 윤석열?,2021-04-11 08:32:00,2021-04-11 09:15:00,바보이반,"어떤 기레긴지 윤서방 띄우기에 총대 매고 앞장섰군. 그런데, 깜이 안 되는 걸 띄워서 뭐하나? 깜빵이나 가야 할 놈인데."
내년 대선은 결국 이재명 대 윤석열?,2021-04-11 08:32:00,2021-04-11 11:10:00,로이윌리엄,"@바보이반 그런놈이 대권주자로 거론되는 자체가 코미디나 다름없는 것이다.
왜구당의 잡것 나베도 띄워주지 그러냐?
쩨원이, 쌍도, 또읍이..등등 낯짝만 봐도 구역질나는 잡것들도 띄워주거라. 푸핫핫.."
내년 대선은 결국 이재명 대 윤석열?,2021-04-11 08:32:00,2021-04-11 11:31:00,Harry Oh,"@로이윌리엄 홍어도 말을 하나.
홍어조지나..
촌넘.."
내년 대선은 결국 이재명 대 윤석열?,2021-04-11 08:32:00,2021-04-11 11:35:00,로이윌리엄,"@Harry Oh 골빈 오리지날 홍어새끼..
개소리 말고 병원에나 가보거라. 아주 중증이구나.ㅉㅉ."
내년 대선은 결국 이재명 대 윤석열?,2021-04-11 08:32:00,2021-04-11 09:07:00,shimheungman,"윤석열이 같은 자가 대통령후보라
빵에 가야할 인간 아닌가
빨대꼽고 빨아대느라 애꽤나쓴다
견항 사장으로 적극 추천한다"
"송영길 당대표 체제, 이재명에게 유리할까",2021-05-08 17:15:00,2021-05-09 10:53:00,dor****,"아무리 그래도 이재명은 대통령 후보가 안됩니다.
왜냐믄 문똥파리와 토착왜구는 이재명이 무섭거든요.....
이낙연, 장세균을 앞세우고 전재수 등 문똥파리는 약한넘 띄우고 후보만들어
뒤로는 토착왜구에게 정권을 넘겨줄 방법을 생각하는 것이죠.......
놈현처럼 당하지 않으려면 철저한 준비가 필요합니다."
